Geneid,/scratch1/shakilma/gene_expression_pro/hisat2/carcinoma_31.bam,/scratch1/shakilma/gene_expression_pro/hisat2/carcinoma_32.bam,/scratch1/shakilma/gene_expression_pro/hisat2/carcinoma_33.bam,/scratch1/shakilma/gene_expression_pro/hisat2/carcinoma_38.bam,/scratch1/shakilma/gene_expression_pro/hisat2/carcinoma_40.bam,/scratch1/shakilma/gene_expression_pro/hisat2/carcinoma_41.bam,/scratch1/shakilma/gene_expression_pro/hisat2/carcinoma_42.bam,/scratch1/shakilma/gene_expression_pro/hisat2/carcinoma_43.bam,/scratch1/shakilma/gene_expression_pro/hisat2/carcinoma_44.bam,/scratch1/shakilma/gene_expression_pro/hisat2/normal_49.bam,/scratch1/shakilma/gene_expression_pro/hisat2/normal_50.bam,/scratch1/shakilma/gene_expression_pro/hisat2/normal_51.bam,/scratch1/shakilma/gene_expression_pro/hisat2/normal_52.bam,/scratch1/shakilma/gene_expression_pro/hisat2/normal_53.bam,/scratch1/shakilma/gene_expression_pro/hisat2/normal_54.bam,/scratch1/shakilma/gene_expression_pro/hisat2/normal_55.bam,/scratch1/shakilma/gene_expression_pro/hisat2/normal_56.bam,/scratch1/shakilma/gene_expression_pro/hisat2/normal_57.bam,/scratch1/shakilma/gene_expression_pro/hisat2/normal_58.bam
ENSG00000171121,69,41,75,71,38,84,110,64,30,8,17,27,8,8,48,51,22,25,49
ENSG00000288979,53,7,40,75,57,72,39,44,35,8,6,3,3,9,22,32,23,25,38
ENSG00000214145,2,0,9,4,6,6,15,8,11,4,0,4,1,1,5,4,5,7,4
ENSG00000289043,16,14,18,23,41,54,27,16,21,7,0,17,0,2,24,36,24,23,28
ENSG00000225764,6,0,3,6,31,4,4,3,5,4,2,1,4,4,4,6,31,9,20
ENSG00000225790,0,2,2,1,2,3,0,0,24,4,0,0,1,2,0,3,4,9,1
ENSG00000189229,0,0,0,0,2,0,0,0,1,0,0,1,1,0,0,0,0,1,1
ENSG00000289641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000286329,11,21,0,2,2,37,2,7,0,0,2,15,0,0,11,1,0,9,4
ENSG00000229155,2,2,1,84,0,17,9,0,0,0,7,0,0,0,2,0,0,0,0
ENSG00000238097,0,0,2,0,0,0,4,2,2,0,0,0,0,0,0,2,0,0,0
ENSG00000289118,16,13,14,11,3,4,10,16,0,2,4,2,0,4,0,0,3,2,5
ENSG00000250934,2,0,2,0,2,3,2,2,0,1,0,0,1,2,2,1,2,0,0
ENSG00000289420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000289358,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000239213,80,47,76,75,42,104,91,93,64,14,21,14,10,4,21,34,23,34,37
ENSG00000243273,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
ENSG00000289435,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000232065,6,0,1,2,6,5,0,2,0,0,0,1,0,0,3,6,0,0,4
ENSG00000243926,10,11,17,24,8,21,33,20,7,0,6,6,2,3,4,8,9,4,16
ENSG00000272758,22,29,60,42,31,62,54,66,19,4,17,23,5,5,27,17,14,28,28
ENSG00000289069,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
ENSG00000288969,2,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,1,0
ENSG00000289507,17,12,14,15,8,4,28,17,24,6,7,2,7,0,9,12,4,12,13
ENSG00000289233,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ENSG00000289632,0,0,0,0,2,0,0,2,2,0,0,0,0,0,0,2,0,0,7
ENSG00000289138,16,14,42,21,15,22,15,38,56,9,14,17,12,3,11,24,19,21,8
ENSG00000288780,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000289574,4,1,4,0,1,4,2,6,6,0,0,2,0,0,4,2,2,0,3
ENSG00000289134,4,0,0,0,2,4,2,1,9,2,0,0,0,0,2,2,0,0,5
ENSG00000240138,3,4,2,1,1,3,1,2,1,1,2,0,2,2,1,2,3,1,1
ENSG00000243838,0,0,2,0,1,2,0,1,0,0,2,0,0,3,1,0,2,4,2
ENSG00000196542,161,110,121,69,252,129,77,148,132,66,277,31,39,123,342,87,90,102,151
ENSG00000240567,6,2,0,0,0,1,0,2,0,0,2,2,2,0,0,2,0,0,8
ENSG00000269888,5,1,4,10,5,13,8,10,5,2,2,0,0,2,0,0,0,0,0
ENSG00000234851,241,155,323,184,215,225,169,350,136,63,54,92,49,51,104,96,44,78,57
ENSG00000182447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000156990,432,149,455,446,566,585,582,533,468,93,84,130,50,61,453,364,435,354,580
ENSG00000228874,0,3,0,4,0,2,6,2,3,0,0,0,0,0,0,0,0,0,1
ENSG00000227578,0,0,2,2,0,2,0,2,1,0,0,0,0,0,0,0,0,0,2
ENSG00000177463,133,48,84,152,117,172,96,174,147,17,19,14,15,6,57,90,93,49,70
ENSG00000237645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000289417,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
ENSG00000228213,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ENSG00000252982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000232601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000213169,48,21,51,59,57,86,68,42,52,18,19,40,9,16,74,112,53,79,84
ENSG00000285614,0,0,0,2,3,1,0,0,0,2,0,0,0,0,0,2,0,0,0
ENSG00000183185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000250750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000231362,0,1,6,2,0,2,0,3,1,1,0,0,0,1,3,1,4,3,2
ENSG00000132182,2622,1295,1998,3008,1447,3301,2102,2097,1406,218,336,462,196,139,1262,1439,1360,1563,964
ENSG00000238138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000223398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000244502,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,2,0,1
ENSG00000163517,460,158,398,644,783,616,748,585,701,179,135,82,63,56,835,441,615,494,999
ENSG00000163520,1433,209,1637,1295,3614,722,4056,1782,2180,1460,164,101,114,62,2394,1145,830,929,5396
ENSG00000114204,2,0,0,0,2,2,0,1,0,2,0,0,2,0,0,2,0,1,2
ENSG00000234742,130,21,184,151,118,290,246,137,184,42,40,48,23,25,80,111,57,75,75
ENSG00000114473,159,30,189,159,201,269,176,93,177,42,50,27,34,46,83,131,139,137,116
ENSG00000199306,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000182899,8697,1631,11050,8010,6468,12133,8769,10505,6461,1543,1542,1478,916,923,5021,4775,3075,3985,4419
ENSG00000201622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000286755,0,0,0,0,2,2,3,3,0,0,0,2,0,0,0,0,0,0,0
ENSG00000232832,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000212297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000213113,4,0,0,6,2,1,8,2,0,0,2,0,0,0,1,1,0,0,4
ENSG00000236246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000222792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000230304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000226008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000185621,231,79,233,245,254,315,295,236,245,60,85,36,27,55,157,111,168,151,211
ENSG00000114745,2090,737,1961,2424,2903,2523,2332,2281,1761,492,413,413,330,252,2026,2021,2263,1771,2114
ENSG00000289446,0,0,1,2,2,0,3,2,4,0,0,0,0,0,0,0,1,0,2
ENSG00000119231,787,207,800,804,850,979,893,824,1014,223,266,114,138,160,472,598,467,478,513
ENSG00000163975,169,46,145,259,386,259,215,290,677,104,65,37,42,22,467,338,172,240,960
ENSG00000075711,1229,452,1120,1012,894,1024,1072,1113,1293,390,427,218,227,302,706,524,531,543,656
ENSG00000289396,5,1,6,0,0,6,0,3,3,0,1,0,2,0,4,0,0,0,0
ENSG00000265850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000227375,5,6,4,6,12,3,3,2,3,0,0,2,2,0,2,2,6,6,4
ENSG00000286870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
ENSG00000163746,1,0,0,7,3,2,1,2,0,0,0,0,2,0,0,2,9,4,2
ENSG00000226441,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000285731,3,0,0,0,0,0,1,0,6,0,0,2,0,0,1,1,6,2,2
ENSG00000231780,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000227309,54,12,52,27,37,43,25,60,32,7,6,14,11,11,31,38,14,14,15
ENSG00000271841,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000233133,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000286352,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000213383,60,25,105,46,50,58,42,82,73,19,21,18,17,15,11,31,24,16,21
ENSG00000214286,0,3,0,1,0,0,1,0,0,0,0,2,1,2,0,2,0,1,0
ENSG00000226238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000131374,1171,517,1268,1017,1274,1465,1455,1255,1766,459,284,257,187,207,1097,861,690,855,972
ENSG00000201182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000157036,190,100,196,195,262,232,234,217,296,81,90,70,58,59,174,156,125,130,130
ENSG00000222883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000240809,84,31,80,69,108,86,107,58,152,33,23,10,13,14,81,71,49,63,67
ENSG00000288793,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
ENSG00000199520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000213450,0,0,3,1,0,0,0,0,0,1,0,0,0,0,2,0,1,4,0
ENSG00000287567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000206891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000212327,6,3,3,4,2,11,1,3,5,0,2,0,0,3,1,5,0,2,3
ENSG00000163702,423,111,370,488,714,406,321,381,206,37,29,78,33,38,471,510,730,406,843
ENSG00000288550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000232287,2,0,2,0,2,1,0,1,0,0,0,0,0,0,0,0,2,0,0
ENSG00000172752,0,0,0,2,1,0,0,0,0,0,1,0,6,0,61,2,0,0,4
ENSG00000173402,2852,1833,2632,4649,3664,3514,4300,2681,3599,730,596,773,298,410,3411,2373,2938,2648,3846
ENSG00000280417,0,2,2,2,6,4,0,4,6,0,0,1,2,2,4,4,2,1,4
ENSG00000242142,10,1,11,0,14,1,6,8,9,6,1,0,3,3,8,7,3,3,12
ENSG00000163933,404,181,460,550,339,529,425,444,358,76,65,79,74,49,276,273,419,252,300
ENSG00000163932,2173,1049,2095,2738,3404,2847,3792,2590,1764,383,447,483,168,305,2314,1406,3114,2288,2315
ENSG00000179934,6,4,11,2,4,7,20,9,9,2,2,6,2,2,0,12,0,2,2
ENSG00000228168,14,10,16,4,10,25,27,8,19,7,5,10,5,1,10,31,7,17,11
ENSG00000238267,0,0,2,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
ENSG00000223668,54,18,58,42,42,56,57,47,40,17,19,15,19,13,57,27,24,45,28
ENSG00000144659,879,352,1066,897,1146,1076,973,1202,762,177,184,248,98,98,540,489,637,600,862
ENSG00000289279,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0
ENSG00000284158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ENSG00000144655,925,384,1573,1271,2049,2893,700,2414,1614,331,823,178,722,249,679,2965,1253,1322,1206
ENSG00000284669,49,36,105,99,243,277,98,343,109,12,61,11,43,26,50,116,59,69,77
ENSG00000283849,5,1,2,2,18,18,4,14,10,0,0,0,0,0,9,13,6,3,5
ENSG00000214305,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000287620,33,18,29,60,70,46,38,37,22,4,5,5,0,13,21,15,15,27,39
ENSG00000168334,2,0,0,6,3,25,2,4,33,0,2,2,0,0,2,8,0,4,1
ENSG00000287995,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0
ENSG00000215034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000168329,173,56,99,164,90,129,385,136,325,93,41,29,38,35,143,158,72,126,232
ENSG00000270367,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0
ENSG00000286689,4,0,13,9,15,11,8,27,0,1,0,2,2,2,0,5,2,7,5
ENSG00000131386,26,7,11,42,34,34,82,11,69,6,4,8,7,9,44,52,8,35,55
ENSG00000285654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000154813,284,164,291,285,295,319,326,206,505,156,123,135,84,93,205,242,203,199,259
ENSG00000154814,218,81,214,148,151,211,183,194,157,43,48,53,27,41,106,132,106,127,126
ENSG00000270739,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000271964,4,4,7,6,4,6,7,18,5,1,3,2,2,0,2,4,0,2,0
ENSG00000272498,7,4,4,8,11,18,6,1,6,2,2,3,0,1,6,2,7,8,6
ENSG00000272529,11,8,8,8,13,14,11,15,3,4,4,0,4,0,13,15,0,12,7
ENSG00000287377,1,0,1,1,0,0,1,2,2,0,1,0,0,0,0,2,0,0,0
ENSG00000224085,0,0,6,5,3,6,2,10,8,3,1,2,4,1,6,3,5,3,4
ENSG00000114120,1419,898,1234,934,1029,1313,1124,1439,1498,466,465,483,233,430,680,481,576,618,762
ENSG00000248773,0,1,3,0,0,3,1,2,3,0,0,0,0,3,0,0,2,0,0
ENSG00000251270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000287155,0,0,0,0,0,1,3,0,0,0,0,0,0,1,0,1,1,0,0
ENSG00000241400,0,0,0,0,2,0,0,0,1,0,0,0,0,0,2,0,0,0,1
ENSG00000249540,1,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0
ENSG00000163913,951,339,951,1299,1418,1284,1050,1327,1043,205,216,154,124,108,968,1002,963,897,1101
ENSG00000201570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000265327,3,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000202517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000230274,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
ENSG00000168032,83,30,42,67,419,74,41,81,172,120,27,15,13,15,186,59,112,60,291
ENSG00000188846,5341,1475,8365,6031,5148,8962,5581,6842,4805,969,990,1288,498,541,4417,3872,3017,3218,3724
ENSG00000177873,162,53,229,150,214,179,179,270,162,38,46,52,38,54,88,94,110,123,113
ENSG00000177842,128,43,102,103,106,117,78,124,115,21,24,27,8,23,83,62,63,34,115
ENSG00000199906,1,1,9,0,3,1,3,2,3,3,0,1,2,0,2,0,0,1,0
ENSG00000234067,15,12,34,45,28,61,66,30,61,10,14,18,4,8,46,30,32,35,56
ENSG00000226845,10,2,11,18,8,14,7,10,10,1,0,0,0,2,4,9,2,8,5
ENSG00000226302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000289169,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000229072,1,0,1,0,3,1,2,0,0,0,0,0,1,0,3,2,0,2,2
ENSG00000231873,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ENSG00000234287,226,119,315,154,196,171,130,217,159,72,67,53,47,51,59,97,75,101,104
ENSG00000287415,2,0,3,9,0,2,0,0,2,1,2,0,1,0,2,10,0,1,2
ENSG00000233096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ENSG00000233919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
ENSG00000275256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000168038,66,22,74,80,54,58,83,70,127,27,31,6,12,8,39,49,51,30,39
ENSG00000252409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000222942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000223513,1,1,2,4,3,0,1,1,1,0,0,1,2,0,2,1,0,0,1
ENSG00000251986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000212145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ENSG00000234270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000235339,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
ENSG00000182606,1546,565,1518,2111,1825,1943,1609,1446,1552,360,417,338,194,229,1363,1172,1132,1212,1463
ENSG00000229339,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
ENSG00000234562,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
ENSG00000222872,1,2,0,2,0,4,4,4,0,0,0,0,0,0,4,1,0,6,1
ENSG00000187094,91,6,2,123,282,301,17,4,33,16,10,8,12,155,188,101,603,486,369
ENSG00000231280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000229572,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0
ENSG00000157093,2,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,2,0,0
ENSG00000286516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000271671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000243547,475,212,499,491,394,564,460,389,540,152,150,126,92,81,248,253,245,223,247
ENSG00000278103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000241815,1,0,1,1,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0
ENSG00000199286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000218754,1,0,0,1,0,0,2,2,1,0,0,2,0,0,2,3,3,6,3
ENSG00000241018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000176243,8,1,3,11,7,14,8,11,22,3,4,0,2,2,11,5,2,0,13
ENSG00000286447,0,0,0,4,4,1,8,2,7,0,0,0,0,2,8,1,7,4,4
ENSG00000080224,21,54,11,59,29,6,146,12,92,4,71,20,0,12,32,13,58,31,28
ENSG00000251172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000261292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000282527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000080200,210,117,173,308,202,315,268,272,374,55,70,43,47,43,106,166,146,155,90
ENSG00000279658,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
