"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","biotype"
"ENSG00000228037",4.99905942252608,-0.230476888199425,0.601967358136965,-0.382872734017888,0.701814128842903,0.92592420225365,"ENSG00000228037","lincRNA"
"ENSG00000142611",38.2078278017774,-0.873682878056402,0.328784453240288,-2.65731201535214,0.00787665052197381,0.242654788476088,"PRDM16","protein_coding"
"ENSG00000157911",710.931833136881,1.27728827732438,0.4267547067275,2.99302680717703,0.00276225485480924,0.159605136116397,"PEX10","protein_coding"
"ENSG00000142655",498.011124301721,-0.610683916882277,0.320309337183065,-1.90654422457019,0.0565796336184604,0.448825688729149,"PEX14","protein_coding"
"ENSG00000149527",1023.11241589882,-0.577079102465453,0.410008766258585,-1.4074799125185,0.159285129632487,0.610020493849911,"PLCH2","protein_coding"
"ENSG00000171621",258.592802713762,-0.000730950361601891,0.315420798215391,-0.00231738162396872,0.998150998635683,0.999457354561795,"SPSB1","protein_coding"
"ENSG00000224387",13.5631093745223,-0.147331523800267,0.531146728178173,-0.277383848914239,0.781485381951451,0.947120755714886,"ENSG00000224387","antisense"
"ENSG00000142583",407.312468482257,-1.12481628668447,0.591946326314503,-1.90019979292321,0.0574069054571434,0.450531445515099,"SLC2A5","protein_coding"
"ENSG00000287727",9.28129338253092,0.310686993011862,0.333561306340994,0.931423960470558,0.35163430137175,0.774271891439217,"ENSG00000287727",NA
"ENSG00000226457",18.3036966713112,0.378409664958888,0.382470214431202,0.989383357660013,0.322475613896581,0.752648171024548,"ENSG00000226457","processed_pseudogene"
"ENSG00000173614",139.890960418284,0.112973110096905,0.140008693740396,0.806900679370521,0.419723707387618,0.814813101220284,"NMNAT1","protein_coding"
"ENSG00000204624",44.6975691925274,0.661191788230361,0.500952649959033,1.31986883048614,0.186878815879596,0.639098871565333,"DISP3","protein_coding"
"ENSG00000142606",40.1728575563228,0.193350362950162,0.4504522447132,0.429236095988971,0.667751416968511,0.915455210585097,"MMEL1","protein_coding"
"ENSG00000225931",6.13450262773388,0.129043209706637,0.419692551379013,0.307470812342585,0.758485036099001,0.939604504029419,"ENSG00000225931","TEC"
"ENSG00000171729",201.722605038993,-0.525357318864594,0.315860466517256,-1.66325759173756,0.0962608837581869,0.529273229322727,"TMEM51","protein_coding"
"ENSG00000229393",20.1033684782048,-0.63961886152845,0.574422944489946,-1.11349810738565,0.265494560717479,0.708403698238167,"ENSG00000229393","antisense"
"ENSG00000037637",708.988958808142,0.116429510659415,0.125823033795241,0.925343374321174,0.354787323551827,0.775556101753563,"FBXO42","protein_coding"
"ENSG00000159423",1229.66017066672,-0.420931899064514,0.389034359683444,-1.08199157371864,0.279256272141709,0.718466055510747,"ALDH4A1","protein_coding"
"ENSG00000157916",1498.25031872884,0.00565136458038596,0.149228850521495,0.0378704557505919,0.969790969040033,0.994494129143642,"RER1","protein_coding"
"ENSG00000157881",309.851967842352,-0.00935480373155292,0.217497515023762,-0.0430110832784959,0.965692698852073,0.993949089307422,"PANK4","protein_coding"
"ENSG00000238290",9.7211121248702,-0.556764831870821,0.365270171745757,-1.52425485281167,0.127445060345875,0.574973557813959,"ENSG00000238290","lincRNA"
"ENSG00000048707",1604.48065138917,-0.225915820463418,0.105387746169015,-2.14366307920758,0.0320598925317823,0.378960833298849,"VPS13D","protein_coding"
"ENSG00000162444",51.7737862293323,-0.735706536943154,0.379442079361681,-1.93891657504303,0.052511497327101,0.43953884583135,"RBP7","protein_coding"
"ENSG00000180758",229.239659515787,-0.130817603216758,0.170286338760764,-0.768221362728007,0.442355683915417,0.825728110155243,"GPR157","protein_coding"
"ENSG00000184677",1249.50228081692,-0.0544791230837716,0.116646084266323,-0.467046308724659,0.640466746597348,0.905593824760512,"ZBTB40","protein_coding"
"ENSG00000288398",115.759485086221,0.284735828702129,0.219539192562005,1.29697037407893,0.194641380530547,0.648124106959449,"ENSG00000288398",NA
"ENSG00000131697",296.083436691467,0.253105552542521,0.233743176907735,1.08283611051641,0.278881174226771,0.718070650655066,"NPHP4","protein_coding"
"ENSG00000233929",11.6680464092587,-1.55025221514854,0.480524438042754,-3.22616727145646,0.00125460010937319,0.121117164432243,"MT1XP1","processed_pseudogene"
"ENSG00000055070",1162.90867792663,-0.0951166293924833,0.15247657793458,-0.623811412093029,0.532751444056978,0.869407882755615,"SZRD1","protein_coding"
"ENSG00000204138",824.135399049503,0.151230261644153,0.122565642894413,1.23387156525123,0.217250766673974,0.668354167774181,"PHACTR4","protein_coding"
"ENSG00000090020",834.662136937598,-0.306789461670603,0.254126864596586,-1.20722955503983,0.227343751356799,0.67379834588775,"SLC9A1","protein_coding"
"ENSG00000157978",826.139141514288,0.0538465849055323,0.21852951391221,0.246404176449887,0.805369373552704,0.954420351684646,"LDLRAP1","protein_coding"
"ENSG00000158006",313.742139387973,0.132419958270024,0.175644728398913,0.753907956572882,0.450904492605682,0.829798414814451,"PAFAH2","protein_coding"
"ENSG00000196581",80.1737133848251,-0.117293834124652,0.351811813915387,-0.333399361491772,0.738832845072887,0.935263168622099,"AJAP1","protein_coding"
"ENSG00000169403",136.374214937168,-0.771895707357225,0.403731904824731,-1.9119016806272,0.0558888060907233,0.447095383018123,"PTAFR","protein_coding"
"ENSG00000171612",148.655072243214,0.536001857218681,0.254935014883089,2.10250387717233,0.0355091603740595,0.39385974765227,"SLC25A33","protein_coding"
"ENSG00000188910",49.2174600664663,-1.07883505055918,0.480018614399026,-2.24748586450102,0.0246089929649222,0.349848052989381,"GJB3","protein_coding"
"ENSG00000158161",519.375648618505,0.239470016900562,0.203369502310559,1.17751193851512,0.238991235287629,0.681978228880248,"EYA3","protein_coding"
"ENSG00000142627",342.597277636332,-1.14202490308744,0.386408462588116,-2.9554862630034,0.00312176598649641,0.167039778064312,"EPHA2","protein_coding"
"ENSG00000142632",191.965008490145,-0.432224943511586,0.304178597282412,-1.42095777734911,0.155329034571191,0.606471750051809,"ARHGEF19","protein_coding"
"ENSG00000189337",230.349143098739,-0.088189723564091,0.175755706963629,-0.501774452094127,0.615826186101212,0.896951699822857,"KAZN","protein_coding"
"ENSG00000028137",440.704525294305,-0.574043145171836,0.414465105505881,-1.38502165211515,0.166045846776181,0.617109838818415,"TNFRSF1B","protein_coding"
"ENSG00000130939",1042.54675137627,-0.0144711373971999,0.0900216601912322,-0.160751727600435,0.872288946446462,0.970883011007457,"UBE4B","protein_coding"
"ENSG00000175147",60.3189415149645,-0.51148796666057,0.294486803831314,-1.73687907235924,0.0824085180900902,0.504595552461284,"TMEM51-AS1","antisense"
"ENSG00000127472",108.960515278498,0.0728053637159977,0.358325610425324,0.203182138250123,0.838992673264014,0.962574526797095,"PLA2G5","protein_coding"
"ENSG00000060656",991.541620339681,-0.544456890590802,0.316337427386197,-1.72112701013437,0.0852277789621134,0.509861700767372,"PTPRU","protein_coding"
"ENSG00000163867",149.392531193037,-0.0950084722296601,0.233259522674077,-0.407308011010599,0.683781779730195,0.920253181567209,"ZMYM6","protein_coding"
"ENSG00000189280",30.821298482933,-1.40274135859123,0.468290323593289,-2.99545236772714,0.00274038097597108,0.159605136116397,"GJB5","protein_coding"
"ENSG00000134698",598.567907314102,-0.0575218237261976,0.156767046895192,-0.366925478698686,0.713674605752989,0.927817754052775,"AGO4","protein_coding"
"ENSG00000272420",5.5847260602527,0.0877345851226103,0.537805161560786,0.163134516723477,0.870412523396452,0.970814471220729,"ENSG00000272420","sense_intronic"
"ENSG00000132881",70.4164225992151,0.246788054648811,0.283702836291706,0.86988222562238,0.384364769890329,0.792882941131567,"RSG1","protein_coding"
"ENSG00000273274",4.85186589448185,-0.281419137341337,0.542118648904098,-0.519109862592314,0.603684131063545,0.891777570949912,"ZBTB8B","protein_coding"
"ENSG00000232273",5.5070660958874,-0.438300862349015,0.393284269400365,-1.11446324313272,0.265080504835117,0.708242877575117,"FTH1P1","processed_pseudogene"
"ENSG00000130940",1291.69004676394,-0.0257096388268852,0.273101293081462,-0.0941395719397653,0.924998286082589,0.984311189874344,"CASZ1","protein_coding"
"ENSG00000163879",400.914775835969,-0.292950342092521,0.294361109412514,-0.995207358326619,0.319635423723552,0.751882153589811,"DNALI1","protein_coding"
"ENSG00000227527",9.9153002791688,0.357885389457533,0.397980352963611,0.89925391239164,0.368517429805873,0.783524085267052,"ENSG00000227527","sense_overlapping"
"ENSG00000116954",163.835158997664,-0.0877181609969196,0.179944952382231,-0.487472195444486,0.625923742215994,0.90070356971433,"RRAGC","protein_coding"
"ENSG00000228589",169.167648191634,0.0641530468257712,0.170756120590174,0.375699837897716,0.707140058413489,0.927427204210866,"SPCS2P4","processed_pseudogene"
"ENSG00000163873",93.5130746827556,-1.05178976995321,0.448424418478071,-2.3455229613118,0.0190004082351062,0.319969169721761,"GRIK3","protein_coding"
"ENSG00000117215",21.5785062941153,0.0756331564248949,0.566660390877461,0.133471754233216,0.893820301237599,0.976427068833871,"PLA2G2D","protein_coding"
"ENSG00000179051",1076.47079671135,0.250801905903791,0.154417427563265,1.62418134961507,0.104337110076999,0.542239308517163,"RCC2","protein_coding"
"ENSG00000215895",31.7879988641048,-0.62317410177136,0.439719579336861,-1.41720799130929,0.156422126057066,0.607420007153255,"ENSG00000215895","processed_pseudogene"
"ENSG00000126067",791.657752091266,0.0343874319636698,0.11637738845756,0.295482072758577,0.76762564517234,0.94189394210404,"PSMB2","protein_coding"
"ENSG00000272078",119.245346022066,0.240596722691101,0.268116521870748,0.897358808820762,0.369527484974307,0.783854366241231,"ENSG00000272078","antisense"
"ENSG00000054118",2575.89755465565,0.0681814665812207,0.115008646036773,0.592837746819663,0.553289743437406,0.875979899328812,"THRAP3","protein_coding"
"ENSG00000237749",19.1030935641522,-0.828855117917445,0.34107736417668,-2.43010884031604,0.0150942892693446,0.294467677578949,"ENSG00000237749","processed_pseudogene"
"ENSG00000158315",33.0716606643637,-0.62460120020554,0.302595471998601,-2.06414589114681,0.0390038859639138,0.40359114693294,"RHBDL2","protein_coding"
"ENSG00000186973",31.1200188338068,-0.60806632890993,0.428021236020619,-1.42064523378143,0.155419921306871,0.606719036890375,"FAM183A","protein_coding"
"ENSG00000146463",901.670457585977,0.110495443203724,0.15980173129652,0.691453354774322,0.489280684284159,0.849628016388446,"ZMYM4","protein_coding"
"ENSG00000142686",266.045408536973,-0.127969909097998,0.177049283461553,-0.722792584053506,0.469807324156209,0.839089914355579,"C1orf216","protein_coding"
"ENSG00000117000",289.510352619816,0.0794366916014404,0.212262185804138,0.374238545129934,0.708226849204363,0.927427204210866,"RLF","protein_coding"
"ENSG00000092853",13.511530180822,-0.389754408301497,0.485107495707037,-0.803439261917475,0.421720889622619,0.816064283319879,"CLSPN","protein_coding"
"ENSG00000134697",467.098971002621,0.197227310304229,0.167271258263849,1.17908666647995,0.238363667382843,0.681724485839192,"GNL2","protein_coding"
"ENSG00000187513",86.2643614319103,-0.181996205176091,0.402251547877042,-0.452443765938529,0.650949323830479,0.909206653608839,"GJA4","protein_coding"
"ENSG00000116151",195.389800158964,-0.0893022097973222,0.253259263654127,-0.352611819638239,0.724379475297634,0.929938340759894,"MORN1","protein_coding"
"ENSG00000006555",237.948731352001,-0.439284600637709,0.293134212610744,-1.49857840449706,0.133983038575534,0.58272073081759,"TTC22","protein_coding"
"ENSG00000214114",199.219816398374,-0.122305043218069,0.200506379429497,-0.609980807424007,0.541874521366273,0.871862043893987,"MYCBP","protein_coding"
"ENSG00000116544",4.07585104509774,-0.28966069574197,0.618446116168469,-0.468368525841084,0.639521071825864,0.905189466664535,"DLGAP3","protein_coding"
"ENSG00000117016",172.814264181115,-0.493761543639673,0.292134850453598,-1.6901836356498,0.0909928280983971,0.521718866601924,"RIMS3","protein_coding"
"ENSG00000163866",246.729376441472,-0.207725565152737,0.170803484501135,-1.21616702234993,0.223921303356207,0.672060919248905,"SMIM12","protein_coding"
"ENSG00000162384",495.929366443233,0.0731610551289713,0.112733093829952,0.64897584767192,0.516353987528201,0.861476714854044,"C1orf123","protein_coding"
"ENSG00000162391",9.10646544439196,-1.14265079569903,0.528344257041761,-2.16270126999548,0.030564163365142,0.373085554554992,"FAM151A","protein_coding"
"ENSG00000117859",1361.85427718823,0.15318650149488,0.158559561104045,0.966113304226171,0.333987487942175,0.761268810142842,"OSBPL9","protein_coding"
"ENSG00000162396",71.5495764884203,0.307460488374236,0.221024782726701,1.39106793627941,0.164204826751686,0.615198694380071,"PARS2","protein_coding"
"ENSG00000162378",317.196265538008,-0.096258994897842,0.236424682714573,-0.407144439373329,0.683901905958205,0.920310991545671,"ZYG11B","protein_coding"
"ENSG00000284773",18.9939061222781,-0.13899027479219,0.245505831393836,-0.566138384587795,0.571299711554211,0.881940943352969,"ENSG00000284773",NA
"ENSG00000224609",13.3563040068423,-0.336248741068489,0.44086150653692,-0.762708324684115,0.44563736478002,0.827673804132644,"HSD52","processed_transcript"
"ENSG00000243725",25.5308869478838,0.014339782511403,0.240543941361416,0.0596139833339535,0.952463081087098,0.990321326180258,"TTC4","protein_coding"
"ENSG00000162407",1643.4481950981,-0.449899070951908,0.316029167879183,-1.42359983406311,0.15456234392113,0.605323281414883,"PLPP3","protein_coding"
"ENSG00000163877",265.660501957892,-0.135779243678927,0.0954047698842165,-1.42319135451728,0.154680691157839,0.605384378303464,"SNIP1","protein_coding"
"ENSG00000228929",209.256901503643,0.448325533585818,0.225717156441316,1.98622710233539,0.0470081127744069,0.427450310271609,"RPS13P2","processed_pseudogene"
"ENSG00000157184",244.258485874455,0.292043277153853,0.176195008148503,1.65750029029035,0.0974183702375954,0.529273229322727,"CPT2","protein_coding"
"ENSG00000198815",1007.86585202627,0.0168271670339552,0.123877702722788,0.135836931619654,0.891950194428448,0.975903240078846,"FOXJ3","protein_coding"
"ENSG00000134744",593.104534689394,-0.0658075443788057,0.0953287025047025,-0.690322459550516,0.489991426928185,0.849965218431436,"ZCCHC11","protein_coding"
"ENSG00000162385",177.210733775546,0.0277900559723229,0.136520476795273,0.203559617023585,0.838697653272291,0.962574526797095,"MAGOH","protein_coding"
"ENSG00000123080",97.0498648742092,-0.357106411753135,0.253893759105014,-1.40651906140565,0.15957004847439,0.610435341148962,"CDKN2C","protein_coding"
"ENSG00000162415",277.911421297608,0.136088753404619,0.16205113476332,0.839788956759731,0.401026726341593,0.802369154960102,"ZSWIM5","protein_coding"
"ENSG00000162600",194.489640722696,0.177924580133419,0.267897529366224,0.664151627506018,0.506593269733904,0.857296770689063,"OMA1","protein_coding"
"ENSG00000116704",354.917550894815,-0.0700920046845756,0.138628047955045,-0.505612000735272,0.613129055293156,0.896052225020612,"SLC35D1","protein_coding"
"ENSG00000157193",64.6865455017496,0.481881285804221,0.197767088579503,2.43661010163733,0.0148256553271686,0.291756707738677,"LRP8","protein_coding"
"ENSG00000116205",173.121026296463,-0.17244218708414,0.144858554593774,-1.19041769792415,0.233882260437188,0.678387942187475,"TCEANC2","protein_coding"
"ENSG00000233994",43.1806178885707,0.130556648750318,0.314231176721387,0.415479616352886,0.677790834009764,0.918761206900521,"GDI2P2","processed_pseudogene"
"ENSG00000132854",67.9401077937386,-0.766039515010346,0.467954747909489,-1.6369948556618,0.101631544463727,0.536440134380567,"KANK4","protein_coding"
"ENSG00000162607",287.597984501392,-0.211320233534328,0.274062020377834,-0.771067195823021,0.440667103468082,0.824961951588391,"USP1","protein_coding"
"ENSG00000154027",74.1387444597525,0.0262151193141011,0.428482332383845,0.0611813307873264,0.951214797749827,0.990321326180258,"AK5","protein_coding"
"ENSG00000137960",23.6001726802557,-0.897215129943114,0.434885230010694,-2.06310784553674,0.0391023829422464,0.404215705753386,"GIPC2","protein_coding"
"ENSG00000116675",42.8277904044615,-0.28157366892503,0.251977162060473,-1.11745710056634,0.263798932316707,0.707636468986481,"DNAJC6","protein_coding"
